index,names,authorId,message,aliases,citationCount,papers
94,Jeroen Bruggeman,145372039,,,,
95,Jesse Hoey,50687524,,,,
96,Jianliang Yang,79695806,,,,
97,Joana Mendonça,2054206550,,,,
98,Johan Ugander,144584024,,,,
99,Johannes Wachs,39748526,,,,
100,John Skvoretz,3233874,,,,
101,Jonathan Bright,145935703,,,,
102,Joyojeet Pal ,2064859943,,,,
103,Junichi Ozaki,65854572,,,,
104,Jussara Almeida,47288524,,,,
105,Jérémie Rappaz,2075527036,,,,
106,Khyati Mahajan,2106176640,,,,
107,Kimmo Kaski,145670814,,,,
108,Kostas Stathoulopoulos,2066469124,,,,
109,Krishna Gummadi,1958921,,,,
110,Laura Bringmann,1935592,,,,
111,Liat Ayalon,47432224,,,,
112,Lijun Sun,2110717605,,,,
113,Lilia Perfeito,5507954,,,,
114,Lingqing Jiang,48280546,,,,
115,Lise Getoor,1746034,,,,
116,Lovro Šubelj,1698672,,,,
117,Luis Cueto-Felgueroso,,,,,
118,Maayan Levinson,118700719,,,,
119,Mahmoudreza Babaei,1818176,,,,
120,Maksim Tsvetovat,1770229,,,,
121,Manuel Cebrian,145512648,,,,
122,Manuel Garcia-Herranz,,,,,
123,Mark Alfano,39073532,,,,
124,Markus Meierer,7147206,,,,
125,Marta González,47342599,,,,
126,Marta Rivera-Alba,,,,,
127,Martin Hilbert,144212002,,,,
128,Martin Lukac,2053062565,,,,
129,María Pereda,144582112,,,,
130,Mattia Gasparini,122392325,,,,
131,Mi Jin Lee,1414111489,,,,
132,Milan Janosov,51301358,,,,
133,Ming Yin,14840260,,,,
134,Moritz Müller,37455034,,,,
135,Muyang Li,134319547,,,,
136,Nadia Metoui,,,,,
137,Nicolas Cointe,,,,,
138,Nikolas Zöller,,,,,
139,Nuno Araujo,,,,,
140,Olga Silyutina,,,,,
141,Oren Lederman,,,,,
142,Peter Barbrook-Johnson,,,,,
143,Philip Howard,,,,,
144,Philip Leifeld,,,,,
145,Philipe Melo,,,,,
146,Quinten Meertens,,,,,
147,Rahul Arulkumaran,,,,,
148,Ricardo Buera Corchón,,,,,
149,Ridwan Alam,,,,,
150,Rishabh Kaushal,,,,,
151,Ronald Robertson,,,,,
152,Rudy Arthur,,,,,
153,Sait Bayrakdar,48640303,,,,
154,Sander Scholtus,2068430565,,,,
155,Sanja Hajdinjak,107795856,,,,
156,Sara Tonelli,2155970749,,,,
157,Scott Hale,115386309,,,,
158,Sergey Gavrilets,2258432,,,,
159,Sharon Goldwater,1991315,,,,
160,Shen Yan,2023487431,,,,
